

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 1; fitness: 39.89405452609942; player life: 0; enemy life: 50.0; time: 165

RUN: run status: enemy: 2; fitness: 48.21003982910275; player life: 0; enemy life: 40.0; time: 327

RUN: run status: enemy: 3; fitness: 30.013547994715562; player life: 0; enemy life: 60.0; time: 398

RUN: run status: enemy: 4; fitness: 30.358092929061886; player life: 0; enemy life: 60.0; time: 282

RUN: run status: enemy: 5; fitness: 93.8128282285399; player life: 92.20000000000007; enemy life: 0; time: 223

RUN: run status: enemy: 6; fitness: 21.454822555520437; player life: 0; enemy life: 70.0; time: 256

RUN: run status: enemy: 7; fitness: 5.473639475383838; player life: 0; enemy life: 90.0; time: 34

RUN: run status: enemy: 8; fitness: 65.41382834514532; player life: 0; enemy life: 20.0; time: 725

RUN: run status: enemy: 1; fitness: 48.918595635015535; player life: 0; enemy life: 40.0; time: 161

RUN: run status: enemy: 2; fitness: 48.222347676777346; player life: 0; enemy life: 40.0; time: 323

RUN: run status: enemy: 3; fitness: 75.42027017401378; player life: 0; enemy life: 10.0; time: 265

RUN: run status: enemy: 4; fitness: 30.358092929061886; player life: 0; enemy life: 60.0; time: 282

RUN: run status: enemy: 5; fitness: 92.42835394814497; player life: 78.4000000000002; enemy life: 0; time: 224

RUN: run status: enemy: 6; fitness: 30.66728120673463; player life: 0; enemy life: 60.0; time: 207

RUN: run status: enemy: 7; fitness: 22.92246255609428; player life: 0; enemy life: 70.0; time: 59

RUN: run status: enemy: 8; fitness: 47.86443510891826; player life: 0; enemy life: 40.0; time: 462

RUN: run status: enemy: 1; fitness: 48.918595635015535; player life: 0; enemy life: 40.0; time: 161

RUN: run status: enemy: 2; fitness: 66.26990021702643; player life: 0; enemy life: 20.0; time: 308

RUN: run status: enemy: 3; fitness: 56.879702581049045; player life: 0; enemy life: 30.0; time: 455

RUN: run status: enemy: 4; fitness: 30.313024643660178; player life: 0; enemy life: 60.0; time: 295

RUN: run status: enemy: 5; fitness: 92.34990021702644; player life: 80.80000000000018; enemy life: 0; time: 308

RUN: run status: enemy: 6; fitness: 12.846708405502222; player life: 0; enemy life: 80.0; time: 173

RUN: run status: enemy: 7; fitness: 5.50349243853352; player life: 0; enemy life: 90.0; time: 33

RUN: run status: enemy: 8; fitness: 65.41382834514532; player life: 0; enemy life: 20.0; time: 725

RUN: run status: enemy: 1; fitness: 39.89405452609942; player life: 0; enemy life: 50.0; time: 165

RUN: run status: enemy: 2; fitness: 48.21003982910275; player life: 0; enemy life: 40.0; time: 327

RUN: run status: enemy: 3; fitness: 30.013547994715562; player life: 0; enemy life: 60.0; time: 398

RUN: run status: enemy: 4; fitness: 30.292889735251123; player life: 0; enemy life: 60.0; time: 301

RUN: run status: enemy: 5; fitness: 93.16094470078549; player life: 83.20000000000016; enemy life: 0; time: 174

RUN: run status: enemy: 6; fitness: 12.638707834290575; player life: 0; enemy life: 80.0; time: 213

RUN: run status: enemy: 7; fitness: 22.92246255609428; player life: 0; enemy life: 70.0; time: 59

RUN: run status: enemy: 8; fitness: 65.41382834514532; player life: 0; enemy life: 20.0; time: 725

RUN: run status: enemy: 1; fitness: 57.72188534076948; player life: 0; enemy life: 30.0; time: 196

RUN: run status: enemy: 2; fitness: 48.21003982910275; player life: 0; enemy life: 40.0; time: 327

RUN: run status: enemy: 3; fitness: 48.19486503108351; player life: 0; enemy life: 40.0; time: 332

RUN: run status: enemy: 4; fitness: 30.313024643660178; player life: 0; enemy life: 60.0; time: 295

RUN: run status: enemy: 5; fitness: 93.96965087177826; player life: 88.60000000000011; enemy life: 0; time: 133

RUN: run status: enemy: 6; fitness: 21.454822555520437; player life: 0; enemy life: 70.0; time: 256

RUN: run status: enemy: 7; fitness: 13.723333880983944; player life: 0; enemy life: 80.0; time: 72

RUN: run status: enemy: 8; fitness: 65.41382834514532; player life: 0; enemy life: 20.0; time: 725
