

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 1; fitness: -4.912654885736052; player life: 0; enemy life: 100; time: 136

RUN: run status: enemy: 2; fitness: 75.31302464366019; player life: 0; enemy life: 10.0; time: 295

RUN: run status: enemy: 3; fitness: 39.225448454455595; player life: 0; enemy life: 50.0; time: 322

RUN: run status: enemy: 4; fitness: 56.860115447773744; player life: 0; enemy life: 30.0; time: 464

RUN: run status: enemy: 5; fitness: 85.18853545289204; player life: 11.80000000000023; enemy life: 0; time: 400

RUN: run status: enemy: 6; fitness: 30.527729326328526; player life: 0; enemy life: 60.0; time: 238

RUN: run status: enemy: 7; fitness: 48.557582289478205; player life: 0; enemy life: 40.0; time: 231

RUN: run status: enemy: 8; fitness: 65.75195712549157; player life: 0; enemy life: 20.0; time: 517

RUN: run status: enemy: 1; fitness: 21.716796271262012; player life: 0; enemy life: 70.0; time: 197

RUN: run status: enemy: 2; fitness: 75.31302464366019; player life: 0; enemy life: 10.0; time: 295

RUN: run status: enemy: 3; fitness: 13.872865614954907; player life: 0; enemy life: 80.0; time: 62

RUN: run status: enemy: 4; fitness: 30.330119077019482; player life: 0; enemy life: 60.0; time: 290

RUN: run status: enemy: 5; fitness: 89.92254710353532; player life: 54.40000000000032; enemy life: 0; time: 249

RUN: run status: enemy: 6; fitness: 39.35809292906189; player life: 0; enemy life: 50.0; time: 282

RUN: run status: enemy: 7; fitness: 48.557582289478205; player life: 0; enemy life: 40.0; time: 231

RUN: run status: enemy: 8; fitness: 65.75195712549157; player life: 0; enemy life: 20.0; time: 517

RUN: run status: enemy: 1; fitness: -4.912654885736052; player life: 0; enemy life: 100; time: 136

RUN: run status: enemy: 2; fitness: 87.89288973525112; player life: 36; enemy life: 0; time: 301

RUN: run status: enemy: 3; fitness: 39.225448454455595; player life: 0; enemy life: 50.0; time: 322

RUN: run status: enemy: 4; fitness: 47.936214791312395; player life: 0; enemy life: 40.0; time: 430

RUN: run status: enemy: 5; fitness: 88.57003982910277; player life: 43.60000000000029; enemy life: 0; time: 327

RUN: run status: enemy: 6; fitness: 30.527729326328526; player life: 0; enemy life: 60.0; time: 238

RUN: run status: enemy: 7; fitness: 21.306267861197302; player life: 0; enemy life: 70.0; time: 297

RUN: run status: enemy: 8; fitness: 65.44038476250675; player life: 0; enemy life: 20.0; time: 706

RUN: run status: enemy: 1; fitness: 4.117198077413629; player life: 0; enemy life: 90.0; time: 132

RUN: run status: enemy: 2; fitness: 88.09288973525112; player life: 38; enemy life: 0; time: 301

RUN: run status: enemy: 3; fitness: 39.225448454455595; player life: 0; enemy life: 50.0; time: 322

RUN: run status: enemy: 4; fitness: 47.936214791312395; player life: 0; enemy life: 40.0; time: 430

RUN: run status: enemy: 5; fitness: -6.584791392385717; player life: 0; enemy life: 100; time: 724

RUN: run status: enemy: 6; fitness: 22.030186700424; player life: 0; enemy life: 70.0; time: 144

RUN: run status: enemy: 7; fitness: 48.557582289478205; player life: 0; enemy life: 40.0; time: 231

RUN: run status: enemy: 8; fitness: 65.75195712549157; player life: 0; enemy life: 20.0; time: 517

RUN: run status: enemy: 1; fitness: 21.894054526099417; player life: 0; enemy life: 70.0; time: 165

RUN: run status: enemy: 2; fitness: 88.09288973525112; player life: 38; enemy life: 0; time: 301

RUN: run status: enemy: 3; fitness: 13.872865614954907; player life: 0; enemy life: 80.0; time: 62

RUN: run status: enemy: 4; fitness: 56.860115447773744; player life: 0; enemy life: 30.0; time: 464

RUN: run status: enemy: 5; fitness: 84.40853545289204; player life: 4.0000000000002345; enemy life: 0; time: 400

RUN: run status: enemy: 6; fitness: 21.943754194651692; player life: 0; enemy life: 70.0; time: 157

RUN: run status: enemy: 7; fitness: 48.557582289478205; player life: 0; enemy life: 40.0; time: 231

RUN: run status: enemy: 8; fitness: 65.44038476250675; player life: 0; enemy life: 20.0; time: 706
