

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 1; fitness: 22.737320122958685; player life: 0; enemy life: 70.0; time: 71

RUN: run status: enemy: 2; fitness: 87.78322890233343; player life: 34; enemy life: 0; time: 275

RUN: run status: enemy: 3; fitness: 3.9124036647676164; player life: 0; enemy life: 90.0; time: 162

RUN: run status: enemy: 4; fitness: 39.15645558296864; player life: 0; enemy life: 50.0; time: 345

RUN: run status: enemy: 5; fitness: 88.57617481767029; player life: 43.60000000000029; enemy life: 0; time: 325

RUN: run status: enemy: 6; fitness: 13.155812913541409; player life: 0; enemy life: 80.0; time: 127

RUN: run status: enemy: 7; fitness: 38.89968104797994; player life: 0; enemy life: 50.0; time: 446

RUN: run status: enemy: 8; fitness: 85.53531660910582; player life: 16.60000000000023; enemy life: 0; time: 457

RUN: run status: enemy: 1; fitness: 22.534091881345418; player life: 0; enemy life: 70.0; time: 87

RUN: run status: enemy: 2; fitness: 91.02027017401377; player life: 66; enemy life: 0; time: 265

RUN: run status: enemy: 3; fitness: 21.93109579777977; player life: 0; enemy life: 70.0; time: 159

RUN: run status: enemy: 4; fitness: 39.15645558296864; player life: 0; enemy life: 50.0; time: 345

RUN: run status: enemy: 5; fitness: 89.30751081973139; player life: 49.60000000000031; enemy life: 0; time: 285

RUN: run status: enemy: 6; fitness: 13.002787726235885; player life: 0; enemy life: 80.0; time: 148

RUN: run status: enemy: 7; fitness: 30.21925648420767; player life: 0; enemy life: 60.0; time: 324

RUN: run status: enemy: 8; fitness: 38.92006680490441; player life: 0; enemy life: 50.0; time: 437

RUN: run status: enemy: 1; fitness: 13.25506787163675; player life: 0; enemy life: 80.0; time: 115

RUN: run status: enemy: 2; fitness: 91.02027017401377; player life: 66; enemy life: 0; time: 265

RUN: run status: enemy: 3; fitness: 30.66728120673463; player life: 0; enemy life: 60.0; time: 207

RUN: run status: enemy: 4; fitness: 30.416503691218303; player life: 0; enemy life: 60.0; time: 266

RUN: run status: enemy: 5; fitness: 89.29419793370404; player life: 49.000000000000306; enemy life: 0; time: 272

RUN: run status: enemy: 6; fitness: 13.155812913541409; player life: 0; enemy life: 80.0; time: 127

RUN: run status: enemy: 7; fitness: 38.89968104797994; player life: 0; enemy life: 50.0; time: 446

RUN: run status: enemy: 8; fitness: 86.13196501081939; player life: 20.80000000000024; enemy life: 0; time: 383

RUN: run status: enemy: 1; fitness: 22.534091881345418; player life: 0; enemy life: 70.0; time: 87

RUN: run status: enemy: 2; fitness: 91.02027017401377; player life: 66; enemy life: 0; time: 265

RUN: run status: enemy: 3; fitness: 3.9124036647676164; player life: 0; enemy life: 90.0; time: 162

RUN: run status: enemy: 4; fitness: 30.27968822339259; player life: 0; enemy life: 60.0; time: 305

RUN: run status: enemy: 5; fitness: 88.67041085661013; player life: 46.0000000000003; enemy life: 0; time: 376

RUN: run status: enemy: 6; fitness: 13.155812913541409; player life: 0; enemy life: 80.0; time: 127

RUN: run status: enemy: 7; fitness: 38.89968104797994; player life: 0; enemy life: 50.0; time: 446

RUN: run status: enemy: 8; fitness: 86.13196501081939; player life: 20.80000000000024; enemy life: 0; time: 383

RUN: run status: enemy: 1; fitness: 13.25506787163675; player life: 0; enemy life: 80.0; time: 115

RUN: run status: enemy: 2; fitness: 85.42784596782224; player life: 10; enemy life: 0; time: 263

RUN: run status: enemy: 3; fitness: 30.66728120673463; player life: 0; enemy life: 60.0; time: 207

RUN: run status: enemy: 4; fitness: 39.15645558296864; player life: 0; enemy life: 50.0; time: 345

RUN: run status: enemy: 5; fitness: 88.67041085661013; player life: 46.0000000000003; enemy life: 0; time: 376

RUN: run status: enemy: 6; fitness: 39.3978811791203; player life: 0; enemy life: 50.0; time: 271

RUN: run status: enemy: 7; fitness: 38.89968104797994; player life: 0; enemy life: 50.0; time: 446

RUN: run status: enemy: 8; fitness: 85.53531660910582; player life: 16.60000000000023; enemy life: 0; time: 457
