

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 1; fitness: -5.25227342804663; player life: 0; enemy life: 100; time: 191

RUN: run status: enemy: 2; fitness: 87.63931836898448; player life: 32; enemy life: 0; time: 260

RUN: run status: enemy: 3; fitness: 30.894054526099417; player life: 0; enemy life: 60.0; time: 165

RUN: run status: enemy: 4; fitness: 21.924826184766175; player life: 0; enemy life: 70.0; time: 160

RUN: run status: enemy: 5; fitness: 29.860115447773744; player life: 0; enemy life: 60.0; time: 464

RUN: run status: enemy: 6; fitness: 21.943754194651692; player life: 0; enemy life: 70.0; time: 157

RUN: run status: enemy: 7; fitness: 66.24425778641309; player life: 0; enemy life: 20.0; time: 316

RUN: run status: enemy: 8; fitness: 87.13935834262664; player life: 29.80000000000026; enemy life: 0; time: 344

RUN: run status: enemy: 1; fitness: -5.25227342804663; player life: 0; enemy life: 100; time: 191

RUN: run status: enemy: 2; fitness: 92.5001335721758; player life: 76; enemy life: 0; time: 164

RUN: run status: enemy: 3; fitness: 48.41275134159975; player life: 0; enemy life: 40.0; time: 267

RUN: run status: enemy: 4; fitness: 21.67699002086159; player life: 0; enemy life: 70.0; time: 205

RUN: run status: enemy: 5; fitness: 47.57028052196086; player life: 0; enemy life: 40.0; time: 620

RUN: run status: enemy: 6; fitness: 21.943754194651692; player life: 0; enemy life: 70.0; time: 157

RUN: run status: enemy: 7; fitness: 39.56627799644576; player life: 0; enemy life: 50.0; time: 229

RUN: run status: enemy: 8; fitness: 84.12539190157783; player life: 3.4000000000002344; enemy life: 0; time: 500

RUN: run status: enemy: 1; fitness: 3.950143992750463; player life: 0; enemy life: 90.0; time: 156

RUN: run status: enemy: 2; fitness: 92.5001335721758; player life: 76; enemy life: 0; time: 164

RUN: run status: enemy: 3; fitness: 40.13246554954442; player life: 0; enemy life: 50.0; time: 130

RUN: run status: enemy: 4; fitness: 21.924826184766175; player life: 0; enemy life: 70.0; time: 160

RUN: run status: enemy: 5; fitness: 29.727122993453833; player life: 0; enemy life: 60.0; time: 530

RUN: run status: enemy: 6; fitness: 39.81821644970792; player life: 0; enemy life: 50.0; time: 178

RUN: run status: enemy: 7; fitness: 48.25060701409175; player life: 0; enemy life: 40.0; time: 314

RUN: run status: enemy: 8; fitness: 84.12539190157783; player life: 3.4000000000002344; enemy life: 0; time: 500

RUN: run status: enemy: 1; fitness: 3.950143992750463; player life: 0; enemy life: 90.0; time: 156

RUN: run status: enemy: 2; fitness: 87.63931836898448; player life: 32; enemy life: 0; time: 260

RUN: run status: enemy: 3; fitness: 48.41275134159975; player life: 0; enemy life: 40.0; time: 267

RUN: run status: enemy: 4; fitness: 21.691732302598794; player life: 0; enemy life: 70.0; time: 202

RUN: run status: enemy: 5; fitness: 29.855814365874355; player life: 0; enemy life: 60.0; time: 466

RUN: run status: enemy: 6; fitness: 21.943754194651692; player life: 0; enemy life: 70.0; time: 157

RUN: run status: enemy: 7; fitness: 48.25060701409175; player life: 0; enemy life: 40.0; time: 314

RUN: run status: enemy: 8; fitness: 85.07297711225777; player life: 11.80000000000023; enemy life: 0; time: 449

RUN: run status: enemy: 1; fitness: -4.844187086458591; player life: 0; enemy life: 100; time: 127

RUN: run status: enemy: 2; fitness: 91.57964417492167; player life: 68; enemy life: 0; time: 185

RUN: run status: enemy: 3; fitness: 30.894054526099417; player life: 0; enemy life: 60.0; time: 165

RUN: run status: enemy: 4; fitness: 21.691732302598794; player life: 0; enemy life: 70.0; time: 202

RUN: run status: enemy: 5; fitness: 39.01606371931281; player life: 0; enemy life: 50.0; time: 397

RUN: run status: enemy: 6; fitness: 21.943754194651692; player life: 0; enemy life: 70.0; time: 157

RUN: run status: enemy: 7; fitness: 48.25060701409175; player life: 0; enemy life: 40.0; time: 314

RUN: run status: enemy: 8; fitness: 87.13935834262664; player life: 29.80000000000026; enemy life: 0; time: 344
