generation,best_score,fitness_mean,fitness_std
0,57.16226955283406,-1.4915535047061126,9.423922149211483
1,57.269900217026425,8.803799108017365,16.784403462261
2,57.269900217026425,17.545518012691403,17.45842197879875
3,57.74772657195337,21.67831571131901,17.375477830585332
4,57.74772657195337,23.436316253711215,18.42052091010763
5,57.74772657195337,25.25026268544197,18.91798300013936
6,66.18586946817493,22.962756003181635,19.89471725913228
7,66.18586946817493,23.796084242196997,19.631531877864436
8,66.2634277025208,25.45331266954067,20.16767213300558
9,66.27641489804762,24.90370430976751,20.23478446056179
10,66.27641489804762,27.85055175234359,21.213302709223267
11,66.75297592783951,27.656725487835935,22.632938129643566
12,66.75297592783951,30.047127511476674,21.897563148241897
13,66.75297592783951,30.620663246881225,21.742850590950773
14,66.75297592783951,25.02860146481429,24.9634981260506
15,66.75297592783951,29.675970255048313,21.108986111116856
16,66.75297592783951,28.42397017811556,22.788851400475934
17,66.75297592783951,26.517639016197272,27.298945701272995
18,66.75297592783951,31.172303695303444,24.32527482866133
19,66.75297592783951,31.28691212220404,24.524656810576015
