generation,best_score,fitness_mean,fitness_std
0,92.14772657195337,10.289039896033133,30.57615646470105
1,92.14772657195337,48.115556219329804,35.88787125128465
2,92.77611947915372,65.33056890015342,31.597334666450973
3,92.77611947915372,75.43828879270941,28.109490686715365
4,92.77611947915372,74.09768917107041,28.223365062960738
5,92.77611947915372,75.49407724277633,26.077408237522185
6,92.77611947915372,76.22561757103007,24.609690382338524
7,92.77611947915372,48.64920390391403,46.36099382417941
8,92.77611947915372,79.97950051648318,22.09109543686881
9,92.77611947915372,79.56703791546632,20.031534043276448
10,92.77611947915372,76.21637241811882,23.893508187726226
11,92.92353644806849,78.88230359893348,21.042754696064367
12,92.92353644806849,73.88043513088505,23.286089631583096
13,92.92353644806849,67.25125253283609,26.894529009892423
14,92.92353644806849,68.78713201712334,27.93537677066962
15,92.92353644806849,81.87408861924025,16.485651843240394
16,92.92353644806849,52.92719671305913,44.54034644601363
17,92.92353644806849,77.41273998630903,22.953630468177078
18,92.92353644806849,74.22644878702606,26.02436704890342
19,92.92353644806849,74.89350681522576,23.2951771681943
