generation,best_score,fitness_mean,fitness_std
0,2.5049753988999e+40,3.427615164245837e+38,2.579233438991444e+39
1,2.5049753988999e+40,1.1152313228087563e+39,4.253929812999935e+39
2,4.048226620285019e+40,3.6502217964703515e+39,8.413703468832215e+39
3,6.255071354828172e+40,8.402202220192922e+39,1.3211529732687055e+40
4,7.434740623748747e+40,1.5566117932526721e+40,1.9443181557868763e+40
5,8.791579229788958e+40,2.1728171995349794e+40,2.197724262554489e+40
6,8.791579229788958e+40,2.566917418219108e+40,2.2071936933226264e+40
7,8.791579229788958e+40,3.1275853270001516e+40,2.0601325480116503e+40
8,8.791579229788958e+40,2.946622158124596e+40,2.661744446867915e+40
9,8.791579229788958e+40,3.3633161826403483e+40,2.575417322134726e+40
10,8.791579229788958e+40,3.7433509294064114e+40,2.4490227204903824e+40
11,8.791579229788958e+40,3.3109627666697806e+40,2.982755480127325e+40
12,8.791579229788958e+40,3.6826092808283896e+40,2.846154950127388e+40
13,8.791579229788958e+40,4.0258119867106974e+40,2.6488335565440614e+40
14,8.791579229788958e+40,3.5588670215064625e+40,3.171632978526018e+40
15,8.791579229788958e+40,3.8913190845229294e+40,3.0633608694300865e+40
16,8.791579229788958e+40,4.3276311819615126e+40,2.722201080362196e+40
17,8.791579229788958e+40,3.8730940863445e+40,3.39631144072898e+40
18,8.791579229788958e+40,4.3265351432380394e+40,3.069618217824752e+40
19,8.791579229788958e+40,4.656168381270485e+40,2.8734760914748377e+40
