generation,best_score,fitness_mean,fitness_std
0,33.87562263775913,0.09772844193544256,10.479248979355408
1,47.69960161880176,7.457988468274275,16.59109734165288
2,71.08629660875786,14.573932487760722,23.984185249417916
3,71.14203146404401,16.977553166332008,23.34461586121123
4,71.14203146404401,21.216410384936044,19.89657180776914
5,71.14203146404401,13.775201242887878,21.07993907677454
6,71.14203146404401,18.731756875517988,18.044361931896766
7,78.30818051964913,29.0645702357541,26.25133760212371
8,78.38140114326265,40.51778541002132,23.966089443157397
9,78.38140114326265,39.993550442612346,24.108066929048665
10,78.38140114326265,34.37336443933628,28.928239549360345
11,78.38140114326265,35.18453662590222,25.780504063456764
