trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.mating_num,config.type.patience,config.type.population_size,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
f988be80,67.38956893038296,1911.3063461780548,True,,,1,6fe0d7e08ba84889a1971d055a7e8d96,2021-10-14_11-45-12,1634204712,1911.3063461780548,14139,EPNLHOOW0187,192.168.100.70,1911.3063461780548,0,1,"1_deap_crossover_kwargs=0.43983,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.68637,doomsday_replace_with_random_prob=0.74191,mating_num=1,patience=1,population_size=100,k=2,tournament_method=<function selProportional at 0x12beffe50>,type=2",0.43982666206459675,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.6863703155814634,0.7419147701568827,1,1,100,<function selProportional at 0x12beffe50>,2,0.8,0,1,2,
f9a58f1a,60.44711357260953,1744.7590930461884,True,,,1,0ba320e6f1b241a2a9d1ee723aecd298,2021-10-14_11-42-26,1634204546,1744.7590930461884,14143,EPNLHOOW0187,192.168.100.70,1744.7590930461884,0,1,"2_deap_crossover_kwargs=0.66462,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.69973,doomsday_replace_with_random_prob=0.20537,mating_num=8,patience=9,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.6646237596108188,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.6997253121298548,0.20536654309868696,8,9,30,<function selTournament at 0x12beffdc0>,1,0.8,0,1,2,10.0
f9bfc308,44.93393386327254,719.7184600830078,True,,,1,fd0205d4853e4d638c600ba20893d568,2021-10-14_11-25-21,1634203521,719.7184600830078,14140,EPNLHOOW0187,192.168.100.70,719.7184600830078,0,1,"3_deap_crossover_kwargs=0.11055,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.36481,doomsday_replace_with_random_prob=0.89144,mating_num=2,patience=5,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.1105494254541779,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.36480607242725815,0.8914398973333473,2,5,30,<function selTournament at 0x12beffdc0>,1,0.2,0,1,2,10.0
f9d28aa6,57.689804446613365,4550.241806983948,True,,,1,c91beffb9c164e8885ebfc829784cddb,2021-10-14_12-29-12,1634207352,4550.241806983948,14137,EPNLHOOW0187,192.168.100.70,4550.241806983948,0,1,"4_deap_crossover_kwargs=0.30827,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.6363,doomsday_replace_with_random_prob=0.93747,mating_num=10,patience=5,population_size=100,k=2,tournsize=10,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.30826613711636885,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.6363007017541283,0.9374721262989953,10,5,100,<function selTournament at 0x12beffdc0>,1,0.3,0,1,2,10.0
f9e608d8,60.89929732846879,1262.080862045288,True,,,1,6bc1dec5526a4031882855b0184890f5,2021-10-14_11-34-24,1634204064,1262.080862045288,14141,EPNLHOOW0187,192.168.100.70,1262.080862045288,0,1,"5_deap_crossover_kwargs=0.84939,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.088576,doomsday_replace_with_random_prob=0.32606,mating_num=5,patience=5,population_size=30,k=2,tournsize=4,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.8493908880646845,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.08857595365803184,0.3260643542475735,5,5,30,<function selTournament at 0x12beffdc0>,1,0.6,0,1,2,4.0
f9f9b50e,62.63023618978858,1898.9981017112732,True,,,1,0cc1b53a5ecd49ce83092b26720ddd02,2021-10-14_11-45-01,1634204701,1898.9981017112732,14136,EPNLHOOW0187,192.168.100.70,1898.9981017112732,0,1,"6_deap_crossover_kwargs=0.20199,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.052573,doomsday_replace_with_random_prob=0.27886,mating_num=8,patience=5,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.20198810574427395,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.05257259700810857,0.2788594173669622,8,5,30,<function selTournament at 0x12beffdc0>,1,0.3,0,1,2,10.0
fa0de196,59.786862380634645,2444.345707178116,True,,,1,de06f8d741b842129a37f0eed412501e,2021-10-14_11-54-07,1634205247,2444.345707178116,14142,EPNLHOOW0187,192.168.100.70,2444.345707178116,0,1,"7_deap_crossover_kwargs=0.87577,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.1698,doomsday_replace_with_random_prob=0.7434,mating_num=4,patience=7,population_size=100,k=2,tournsize=10,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.8757716136556368,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.169804313636702,0.7433990120734841,4,7,100,<function selTournament at 0x12beffdc0>,1,0.6,0,1,2,10.0
fa234860,52.44496409397455,1318.8217749595642,True,,,1,f442b4d1a10b43569cf985296ae3e63b,2021-10-14_11-35-22,1634204122,1318.8217749595642,14138,EPNLHOOW0187,192.168.100.70,1318.8217749595642,0,1,"8_deap_crossover_kwargs=0.70568,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.17264,doomsday_replace_with_random_prob=0.093737,mating_num=1,patience=12,population_size=100,k=2,tournsize=4,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.7056788732992889,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.1726375720562806,0.09373686802036008,1,12,100,<function selTournament at 0x12beffdc0>,1,0.8,0,1,2,4.0
fa3864ca,81.02208007145859,639.9888026714325,True,,,1,eaec6988b9c74a5c87d06bb85678bd10,2021-10-14_11-36-04,1634204164,639.9888026714325,14482,EPNLHOOW0187,192.168.100.70,639.9888026714325,0,1,"9_deap_crossover_kwargs=0.2238,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.43823,doomsday_replace_with_random_prob=0.56089,mating_num=2,patience=3,population_size=30,k=2,tournsize=4,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.22379631481034234,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.438231438876991,0.5608919617844651,2,3,30,<function selTournament at 0x12beffdc0>,1,0.2,0,1,2,4.0
a7ace2ba,62.29306979619346,1304.51806306839,True,,,1,3b31ed9e40394fa9932bc4dfbad62ee8,2021-10-14_11-56-11,1634205371,1304.51806306839,14890,EPNLHOOW0187,192.168.100.70,1304.51806306839,0,1,"10_deap_crossover_kwargs=0.50068,deap_crossover_method=<function cxUniform at 0x12bede5e0>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12bf1a700>,doomsday_population_ratio=0.043295,doomsday_replace_with_random_prob=0.86051,mating_num=9,patience=11,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x12beffdc0>,type=1",0.500676399123409,<function cxUniform at 0x12bede5e0>,<function mutGaussian at 0x12bf1a700>,0.043295245971494256,0.8605076142726211,9,11,30,<function selTournament at 0x12beffdc0>,1,0.6,0,1,2,10.0
