trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.enemy_number,config.type.mating_num,config.type.patience,config.type.population_size,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
b3d23fc2,28.310190925762765,993.2888169288635,True,,,1.0,663a06ed7eac4345b925ac47b8f1dc94,2021-10-16_01-52-56,1634341976.0,993.2888169288635,94983.0,EPNLHOOW0187,192.168.100.70,993.2888169288635,0.0,1.0,"1_deap_crossover_kwargs=0.48027,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.51894,doomsday_replace_with_random_prob=0.71912,enemy_number=(6, 7, 8),mating_num=5,patience=2,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.4802659117976681,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.5189400561115586,0.7191177308951546,"(6, 7, 8)",5.0,2.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.3,0.0,1.0,2.0,
b3f38a10,0.5691398261157466,1690.5892338752747,True,,,1.0,5195b0fed6ab4674ae8d52e85335b777,2021-10-16_02-04-33,1634342673.0,1690.5892338752747,94980.0,EPNLHOOW0187,192.168.100.70,1690.5892338752747,0.0,1.0,"2_deap_crossover_kwargs=0.42564,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.38152,doomsday_replace_with_random_prob=0.52833,enemy_number=(2, 4, 8),mating_num=4,patience=3,population_size=70,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.42563865297447556,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.38151746823817845,0.5283310976388286,"(2, 4, 8)",4.0,3.0,70.0,<function selTournament at 0x129dbfe50>,tournament,0.3,0.0,1.0,2.0,4.0
b40844be,12.41101058497652,1530.6525559425354,True,,,1.0,fd3e3076a27b464e92761f3df13fe46d,2021-10-16_02-01-54,1634342514.0,1530.6525559425354,94977.0,EPNLHOOW0187,192.168.100.70,1530.6525559425354,0.0,1.0,"3_deap_crossover_kwargs=0.60869,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.67998,doomsday_replace_with_random_prob=0.53147,enemy_number=(1, 4, 7),mating_num=10,patience=4,population_size=70,k=2,tournsize=10,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.608692435573102,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.679983430539329,0.5314666358325822,"(1, 4, 7)",10.0,4.0,70.0,<function selTournament at 0x129dbfe50>,tournament,0.3,0.0,1.0,2.0,10.0
b41c0828,20.565059757989435,748.779049873352,True,,,1.0,375c14c0caee48e98f130b74f8db25d7,2021-10-16_01-48-52,1634341732.0,748.779049873352,94976.0,EPNLHOOW0187,192.168.100.70,748.779049873352,0.0,1.0,"4_deap_crossover_kwargs=0.77291,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.52854,doomsday_replace_with_random_prob=0.23534,enemy_number=(1, 4, 7),mating_num=5,patience=6,population_size=30,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.7729070565478974,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.5285400568888711,0.2353432493406995,"(1, 4, 7)",5.0,6.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.8,0.0,1.0,2.0,4.0
b4322b12,-1.4730417041138117,2047.4220612049103,True,,,1.0,3bc2952a05d144a5ad76ea8c95959e49,2021-10-16_02-10-31,1634343031.0,2047.4220612049103,94978.0,EPNLHOOW0187,192.168.100.70,2047.4220612049103,0.0,1.0,"5_deap_crossover_kwargs=0.11975,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.11897,doomsday_replace_with_random_prob=0.086221,enemy_number=(1, 2, 3),mating_num=3,patience=2,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.11974890422971163,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.11896762883296508,0.08622064859415213,"(1, 2, 3)",3.0,2.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.8,0.0,1.0,2.0,
b4498500,9.592630579934948,1322.6099107265472,True,,,1.0,b8c761a70be54ab3b398fa7bcfc9a7ed,2021-10-16_01-58-26,1634342306.0,1322.6099107265472,94981.0,EPNLHOOW0187,192.168.100.70,1322.6099107265472,0.0,1.0,"6_deap_crossover_kwargs=0.26943,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.34108,doomsday_replace_with_random_prob=0.69977,enemy_number=(2, 5),mating_num=3,patience=2,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.26942780602511196,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.34108003126278497,0.6997729340817243,"(2, 5)",3.0,2.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.6,0.0,1.0,2.0,
b45f48ae,3.9857721065786516,937.2645690441132,True,,,1.0,015ae2cfb79545ab99f517be7724c9de,2021-10-16_01-52-01,1634341921.0,937.2645690441132,94982.0,EPNLHOOW0187,192.168.100.70,937.2645690441132,0.0,1.0,"7_deap_crossover_kwargs=0.51017,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.10152,doomsday_replace_with_random_prob=0.80098,enemy_number=(2, 4, 8),mating_num=3,patience=3,population_size=30,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.5101699283271627,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.10152168405894313,0.8009785305713896,"(2, 4, 8)",3.0,3.0,30.0,<function selTournament at 0x129dbfe50>,tournament,0.8,0.0,1.0,2.0,4.0
b4744614,9.079727041792662,708.9205539226532,True,,,1.0,0b436d897d0b47589496a0cec4825964,2021-10-16_01-48-13,1634341693.0,708.9205539226532,94979.0,EPNLHOOW0187,192.168.100.70,708.9205539226532,0.0,1.0,"8_deap_crossover_kwargs=0.51618,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.012292,doomsday_replace_with_random_prob=0.28809,enemy_number=(1, 4, 7),mating_num=2,patience=2,population_size=70,k=2,tournsize=10,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.5161811809435743,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.012292439679092881,0.2880891336099949,"(1, 4, 7)",2.0,2.0,70.0,<function selTournament at 0x129dbfe50>,tournament,0.2,0.0,1.0,2.0,10.0
b489c188,11.154944235990458,26355.606288909912,True,,,1.0,c629c62c757145aebc5afaa1b5e3666c,2021-10-16_09-07-32,1634368052.0,26355.606288909912,95246.0,EPNLHOOW0187,192.168.100.70,26355.606288909912,0.0,1.0,"9_deap_crossover_kwargs=0.69144,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.43999,doomsday_replace_with_random_prob=0.67275,enemy_number=(2, 4, 8),mating_num=9,patience=2,population_size=70,k=2,tournsize=4,tournament_method=<function selTournament at 0x129dbfe50>,type=tournament",0.6914381000697946,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.43998574498400245,0.6727518427854924,"(2, 4, 8)",9.0,2.0,70.0,<function selTournament at 0x129dbfe50>,tournament,0.6,0.0,1.0,2.0,4.0
5c45504e,7.060435772929314,25180.51474881172,True,,,1.0,138bd87f72da418cb5f8eda49a14d571,2021-10-16_08-48-36,1634366916.0,25180.51474881172,95280.0,EPNLHOOW0187,192.168.100.70,25180.51474881172,0.0,1.0,"10_deap_crossover_kwargs=0.033672,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.75889,doomsday_replace_with_random_prob=0.21458,enemy_number=(1, 2, 3),mating_num=3,patience=5,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.033671910580681974,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.7588869811394529,0.21458330886744037,"(1, 2, 3)",3.0,5.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.2,0.0,1.0,2.0,
