trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.enemy_number,config.type.mating_num,config.type.patience,config.type.population_size,config.type.survivor_pool,config.type.survivor_selection_method,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
7cb84f66,15.708055671686717,550.0873458385468,True,,,1,1083156e489244429ebdd01bcadaa6ea,2021-10-17_17-20-33,1634484033,550.0873458385468,51684,EPNLHOOW0187,192.168.100.70,550.0873458385468,0,1,"1_deap_crossover_kwargs=0.32709,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.15011,doomsday_replace_with_random_prob=0.31626,enemy_number=(1, 4, 7),mating_num=6,patience=1,population_size=70,survivor_pool=all,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=5,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.3270877945626639,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.1501106442411737,0.31625506687896177,"(1, 4, 7)",6,1,70,all,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.2,0,1,4,5
7cda59a8,23.810799479464734,677.7387759685516,True,,,1,6117f5b57ffc459686a6269c5a9226c6,2021-10-17_17-22-41,1634484161,677.7387759685516,51687,EPNLHOOW0187,192.168.100.70,677.7387759685516,0,1,"2_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.19491,doomsday_replace_with_random_prob=0.15475,enemy_number=(2, 4, 8),mating_num=5,patience=1,population_size=70,survivor_pool=all,survivor_selection_method=<function selProportional at 0x1257e4160>,k=3,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.1949146371689645,0.1547541555275589,"(2, 4, 8)",5,1,70,all,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.6,0,1,3,8
7cf00000,-6.117680395245711,481.33993196487427,True,,,1,65f34d74f6854f5c8d7c0469a0878fd7,2021-10-17_17-19-25,1634483965,481.33993196487427,51683,EPNLHOOW0187,192.168.100.70,481.33993196487427,0,1,"3_deap_crossover_kwargs=0.75177,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.029783,doomsday_replace_with_random_prob=0.095766,enemy_number=(2, 4, 8),mating_num=6,patience=1,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=5,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.7517727893242471,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.029783399629051077,0.09576570995495026,"(2, 4, 8)",6,1,30,offspring,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.2,0,1,4,5
7d055cde,6.616084887725465,822.5620090961456,True,,,1,e31f91167f594916883a18dc3f8706fc,2021-10-17_17-25-06,1634484306,822.5620090961456,51682,EPNLHOOW0187,192.168.100.70,822.5620090961456,0,1,"4_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.25258,doomsday_replace_with_random_prob=0.8846,enemy_number=(2, 4, 8),mating_num=8,patience=1,population_size=30,survivor_pool=all,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.25258253869633607,0.8846029911110979,"(2, 4, 8)",8,1,30,all,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.6,0,1,4,8
7d1a3622,-6.7922517705494485,477.4445240497589,True,,,1,d62c3826f4ed406eb65371a1f9cd4e87,2021-10-17_17-19-21,1634483961,477.4445240497589,51685,EPNLHOOW0187,192.168.100.70,477.4445240497589,0,1,"5_deap_crossover_kwargs=0.98659,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.65364,doomsday_replace_with_random_prob=0.771,enemy_number=(1, 2),mating_num=8,patience=2,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.9865894713089501,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.653640788236725,0.7709975799073271,"(1, 2)",8,2,70,offspring,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.3,0,1,4,8
7d2eb80e,9.330307942253631,523.5572001934052,True,,,1,d80c7e3133fd44f0b65efacbe4f12bf5,2021-10-17_17-20-08,1634484008,523.5572001934052,51681,EPNLHOOW0187,192.168.100.70,523.5572001934052,0,1,"6_deap_crossover_kwargs=0.34378,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.29638,doomsday_replace_with_random_prob=0.16283,enemy_number=(2, 4, 8),mating_num=2,patience=2,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=5,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.34377651915086604,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.2963800889968806,0.16283484640722012,"(2, 4, 8)",2,2,70,offspring,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.8,0,1,4,5
7d44036c,3.5929349232837717,673.3819518089294,True,,,1,2423a78fd54d48169bdc15c448c03fd7,2021-10-17_17-22-38,1634484158,673.3819518089294,51688,EPNLHOOW0187,192.168.100.70,673.3819518089294,0,1,"7_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.24536,doomsday_replace_with_random_prob=0.66569,enemy_number=(2, 4, 8),mating_num=10,patience=1,population_size=30,survivor_pool=all,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.24536294177475915,0.6656922778820134,"(2, 4, 8)",10,1,30,all,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.2,0,1,4,8
7d5bac56,8.086148366470013,409.85302996635437,True,,,1,8f146e70f2d24e7198884f729cb4185c,2021-10-17_17-18-14,1634483894,409.85302996635437,51686,EPNLHOOW0187,192.168.100.70,409.85302996635437,0,1,"8_deap_crossover_kwargs=0.84915,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.017817,doomsday_replace_with_random_prob=0.77295,enemy_number=(1, 4, 7),mating_num=4,patience=1,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=5,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.8491469758040658,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.017816764544269614,0.7729510081190101,"(1, 4, 7)",4,1,30,offspring,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.8,0,1,4,5
7d74d898,14.712238240083185,428.64120292663574,True,,,1,132714a70c2441448269fc374dd1ae45,2021-10-17_17-25-26,1634484326,428.64120292663574,51923,EPNLHOOW0187,192.168.100.70,428.64120292663574,0,1,"9_deap_crossover_method=<function cxMultiParentUniform at 0x125876550>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.63301,doomsday_replace_with_random_prob=0.35182,enemy_number=(2, 4, 8),mating_num=7,patience=1,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selProportional at 0x1257e4160>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_multi_parents",,<function cxMultiParentUniform at 0x125876550>,<function mutGaussian at 0x12586c9d0>,0.6330103265098773,0.3518152942985382,"(2, 4, 8)",7,1,30,offspring,<function selProportional at 0x1257e4160>,<function selTournament at 0x1257e40d0>,tournament_multi_parents,0.6,0,1,4,8
72f12574,7.545778537192746,482.1904089450836,True,,,1,7167e69077c14fcb84d8124135e8758a,2021-10-17_17-27-25,1634484445,482.1904089450836,51983,EPNLHOOW0187,192.168.100.70,482.1904089450836,0,1,"10_deap_crossover_kwargs=0.58517,deap_crossover_method=<function cx4ParentsCustomUniform at 0x1258764c0>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12586c9d0>,doomsday_population_ratio=0.46128,doomsday_replace_with_random_prob=0.66835,enemy_number=(1, 4, 7),mating_num=9,patience=1,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x1257e4040>,k=4,tournsize=8,tournament_method=<function selTournament at 0x1257e40d0>,type=tournament_4_parents",0.5851708621015569,<function cx4ParentsCustomUniform at 0x1258764c0>,<function mutGaussian at 0x12586c9d0>,0.4612837783638202,0.6683462649529197,"(1, 4, 7)",9,1,70,offspring,<function selBest at 0x1257e4040>,<function selTournament at 0x1257e40d0>,tournament_4_parents,0.6,0,1,4,8
