trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.enemy_number,config.type.mating_num,config.type.patience,config.type.population_size,config.type.survivor_pool,config.type.survivor_selection_method,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18f30f62,-19.677543801220047,2235.962399959564,True,,,1.0,e1198e15e03d4023ae2aa686e983c856,2021-10-18_12-08-14,1634551694.0,2235.962399959564,90501.0,EPNLHOOW0187,192.168.100.70,2235.962399959564,0.0,1.0,"2_deap_crossover_method=<function cxMultiParentUniform at 0x13030e550>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x1302b89d0>,doomsday_population_ratio=0.11695,doomsday_replace_with_random_prob=0.26263,enemy_number=(1, 2, 3, 4, 5, 6, 7, 8),mating_num=2,patience=8,population_size=50,survivor_pool=all,survivor_selection_method=<function selProportional at 0x13027e160>,k=5,tournsize=10,tournament_method=<function selTournament at 0x13027e0d0>,type=tournament_multi_parents",<function cxMultiParentUniform at 0x13030e550>,<function mutGaussian at 0x1302b89d0>,0.11694505931764798,0.26263333153525104,"(1, 2, 3, 4, 5, 6, 7, 8)",2.0,8.0,50.0,all,<function selProportional at 0x13027e160>,<function selTournament at 0x13027e0d0>,tournament_multi_parents,0.3,0.0,1.0,5.0,10.0
19073366,-22.5974633204469,4480.05580496788,True,,,1.0,5efa980bb7d44f84a29f47ec6fc63ebb,2021-10-18_12-45-38,1634553938.0,4480.05580496788,90498.0,EPNLHOOW0187,192.168.100.70,4480.05580496788,0.0,1.0,"3_deap_crossover_method=<function cxMultiParentUniform at 0x13030e550>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x1302b89d0>,doomsday_population_ratio=0.55809,doomsday_replace_with_random_prob=0.068675,enemy_number=(1, 2, 3, 4, 5, 6, 7, 8),mating_num=7,patience=2,population_size=50,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x13027e040>,k=3,tournsize=8,tournament_method=<function selTournament at 0x13027e0d0>,type=tournament_multi_parents",<function cxMultiParentUniform at 0x13030e550>,<function mutGaussian at 0x1302b89d0>,0.5580946850836633,0.06867508407226852,"(1, 2, 3, 4, 5, 6, 7, 8)",7.0,2.0,50.0,offspring,<function selBest at 0x13027e040>,<function selTournament at 0x13027e0d0>,tournament_multi_parents,0.8,0.0,1.0,3.0,8.0
191a2f48,-16.1593784471154,4745.485676765442,True,,,1.0,89d65d4c9d72418f80f3188429c7a01f,2021-10-18_12-50-04,1634554204.0,4745.485676765442,90502.0,EPNLHOOW0187,192.168.100.70,4745.485676765442,0.0,1.0,"4_deap_crossover_method=<function cxMultiParentUniform at 0x13030e550>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x1302b89d0>,doomsday_population_ratio=0.19635,doomsday_replace_with_random_prob=0.4467,enemy_number=(1, 2, 3, 4, 5, 6, 7, 8),mating_num=9,patience=1,population_size=50,survivor_pool=offspring,survivor_selection_method=<function selProportional at 0x13027e160>,k=5,tournsize=10,tournament_method=<function selTournament at 0x13027e0d0>,type=tournament_multi_parents",<function cxMultiParentUniform at 0x13030e550>,<function mutGaussian at 0x1302b89d0>,0.19635144026350815,0.44670320321163426,"(1, 2, 3, 4, 5, 6, 7, 8)",9.0,1.0,50.0,offspring,<function selProportional at 0x13027e160>,<function selTournament at 0x13027e0d0>,tournament_multi_parents,0.3,0.0,1.0,5.0,10.0
1939b624,-22.878052568899072,4035.6548521518707,True,,,1.0,0b30766aad9047e5932d6ba55eb2e315,2021-10-18_12-38-14,1634553494.0,4035.6548521518707,90500.0,EPNLHOOW0187,192.168.100.70,4035.6548521518707,0.0,1.0,"5_deap_crossover_method=<function cxMultiParentUniform at 0x13030e550>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x1302b89d0>,doomsday_population_ratio=0.094362,doomsday_replace_with_random_prob=0.46125,enemy_number=(1, 2, 3, 4, 5, 6, 7, 8),mating_num=6,patience=3,population_size=50,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x13027e040>,k=4,tournsize=8,tournament_method=<function selTournament at 0x13027e0d0>,type=tournament_multi_parents",<function cxMultiParentUniform at 0x13030e550>,<function mutGaussian at 0x1302b89d0>,0.0943622570247209,0.4612468012203842,"(1, 2, 3, 4, 5, 6, 7, 8)",6.0,3.0,50.0,offspring,<function selBest at 0x13027e040>,<function selTournament at 0x13027e0d0>,tournament_multi_parents,0.8,0.0,1.0,4.0,8.0
194d74c0,-16.82932494572973,4423.492193937302,True,,,1.0,988c2f2cd81c4b9286f18319dc90ff8d,2021-10-18_12-44-42,1634553882.0,4423.492193937302,90497.0,EPNLHOOW0187,192.168.100.70,4423.492193937302,0.0,1.0,"6_deap_crossover_method=<function cxMultiParentUniform at 0x13030e550>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x1302b89d0>,doomsday_population_ratio=0.50778,doomsday_replace_with_random_prob=0.0068138,enemy_number=(1, 2, 3, 4, 5, 6, 7, 8),mating_num=8,patience=2,population_size=50,survivor_pool=all,survivor_selection_method=<function selProportional at 0x13027e160>,k=4,tournsize=8,tournament_method=<function selTournament at 0x13027e0d0>,type=tournament_multi_parents",<function cxMultiParentUniform at 0x13030e550>,<function mutGaussian at 0x1302b89d0>,0.5077805446323479,0.006813841881566751,"(1, 2, 3, 4, 5, 6, 7, 8)",8.0,2.0,50.0,all,<function selProportional at 0x13027e160>,<function selTournament at 0x13027e0d0>,tournament_multi_parents,0.2,0.0,1.0,4.0,8.0
19615a26,-26.30806271250064,4205.650030136108,True,,,1.0,8b24cafcb33143aa875b7170fffd654f,2021-10-18_12-41-05,1634553665.0,4205.650030136108,90496.0,EPNLHOOW0187,192.168.100.70,4205.650030136108,0.0,1.0,"7_deap_crossover_method=<function cxMultiParentUniform at 0x13030e550>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x1302b89d0>,doomsday_population_ratio=0.89592,doomsday_replace_with_random_prob=0.40195,enemy_number=(1, 2, 3, 4, 5, 6, 7, 8),mating_num=8,patience=7,population_size=50,survivor_pool=all,survivor_selection_method=<function selProportional at 0x13027e160>,k=5,tournsize=10,tournament_method=<function selTournament at 0x13027e0d0>,type=tournament_multi_parents",<function cxMultiParentUniform at 0x13030e550>,<function mutGaussian at 0x1302b89d0>,0.8959164102916116,0.4019531658290454,"(1, 2, 3, 4, 5, 6, 7, 8)",8.0,7.0,50.0,all,<function selProportional at 0x13027e160>,<function selTournament at 0x13027e0d0>,tournament_multi_parents,0.3,0.0,1.0,5.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
