trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.mating_num,config.type.patience,config.type.population_size,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9a9b41c,58.35462193282403,1521.5137257575989,True,,,1.0,0cb94cc1a7af47edb0d73c439b396839,2021-10-14_14-22-55,1634214175.0,1521.5137257575989,19415.0,EPNLHOOW0187,192.168.100.70,1521.5137257575989,0.0,1.0,"2_deap_crossover_kwargs=0.80164,deap_crossover_method=<function cxUniform at 0x12c5b25e0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12c5ed700>,doomsday_population_ratio=0.136,doomsday_replace_with_random_prob=0.020704,mating_num=3,patience=9,population_size=30,k=2,tournament_method=<function selProportional at 0x12c5d3e50>,type=2",0.801641131761092,<function cxUniform at 0x12c5b25e0>,<function mutGaussian at 0x12c5ed700>,0.1359992098928744,0.020704464693159785,3.0,9.0,30.0,<function selProportional at 0x12c5d3e50>,2.0,0.2,0.0,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9d6c90c,70.49871730607184,2156.3620369434357,True,,,1.0,9f97209f45c045fcb4960587f0fb541b,2021-10-14_14-33-30,1634214810.0,2156.3620369434357,19417.0,EPNLHOOW0187,192.168.100.70,2156.3620369434357,0.0,1.0,"4_deap_crossover_kwargs=0.33034,deap_crossover_method=<function cxUniform at 0x12c5b25e0>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12c5ed700>,doomsday_population_ratio=0.24314,doomsday_replace_with_random_prob=0.50886,mating_num=1,patience=3,population_size=100,k=2,tournament_method=<function selProportional at 0x12c5d3e50>,type=2",0.33034475943005426,<function cxUniform at 0x12c5b25e0>,<function mutGaussian at 0x12c5ed700>,0.24314450212586658,0.5088637011860574,1.0,3.0,100.0,<function selProportional at 0x12c5d3e50>,2.0,0.8,0.0,1.0,2.0,
e9ea6d36,64.24666000017201,3345.462100982666,True,,,1.0,f7fb96d5e6e14f1f8e7f6818e98812f5,2021-10-14_14-53-19,1634215999.0,3345.462100982666,19413.0,EPNLHOOW0187,192.168.100.70,3345.462100982666,0.0,1.0,"5_deap_crossover_kwargs=0.85422,deap_crossover_method=<function cxUniform at 0x12c5b25e0>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12c5ed700>,doomsday_population_ratio=0.21093,doomsday_replace_with_random_prob=0.71709,mating_num=2,patience=4,population_size=100,k=2,tournament_method=<function selProportional at 0x12c5d3e50>,type=2",0.8542221261295645,<function cxUniform at 0x12c5b25e0>,<function mutGaussian at 0x12c5ed700>,0.2109314424755827,0.7170923463762054,2.0,4.0,100.0,<function selProportional at 0x12c5d3e50>,2.0,0.3,0.0,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea12d820,68.1067422247555,824.3764989376068,True,,,1.0,d086c15a8cef4cbeab340f2c624a0b30,2021-10-14_14-11-18,1634213478.0,824.3764989376068,19419.0,EPNLHOOW0187,192.168.100.70,824.3764989376068,0.0,1.0,"7_deap_crossover_kwargs=0.44734,deap_crossover_method=<function cxUniform at 0x12c5b25e0>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12c5ed700>,doomsday_population_ratio=0.36341,doomsday_replace_with_random_prob=0.94319,mating_num=1,patience=5,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x12c5d3dc0>,type=1",0.4473387022241955,<function cxUniform at 0x12c5b25e0>,<function mutGaussian at 0x12c5ed700>,0.3634058430125682,0.9431927633544015,1.0,5.0,30.0,<function selTournament at 0x12c5d3dc0>,1.0,0.6,0.0,1.0,2.0,10.0
ea271268,67.75116995180367,3005.9868252277374,True,,,1.0,5fcd4115021c4cdcadc063abb6b1f251,2021-10-14_14-47-40,1634215660.0,3005.9868252277374,19416.0,EPNLHOOW0187,192.168.100.70,3005.9868252277374,0.0,1.0,"8_deap_crossover_kwargs=0.63939,deap_crossover_method=<function cxUniform at 0x12c5b25e0>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12c5ed700>,doomsday_population_ratio=0.26012,doomsday_replace_with_random_prob=0.67688,mating_num=7,patience=12,population_size=30,k=2,tournsize=10,tournament_method=<function selTournament at 0x12c5d3dc0>,type=1",0.6393854001176208,<function cxUniform at 0x12c5b25e0>,<function mutGaussian at 0x12c5ed700>,0.26012278527875177,0.6768810562522983,7.0,12.0,30.0,<function selTournament at 0x12c5d3dc0>,1.0,0.6,0.0,1.0,2.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d67f5b06,65.54810426833265,4573.525825977325,True,,,1.0,33b5b04151534be9ac1a3c182ed10379,2021-10-14_15-39-11,1634218751.0,4573.525825977325,20277.0,EPNLHOOW0187,192.168.100.70,4573.525825977325,0.0,1.0,"10_deap_crossover_kwargs=0.35622,deap_crossover_method=<function cxUniform at 0x12c5b25e0>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12c5ed700>,doomsday_population_ratio=0.42966,doomsday_replace_with_random_prob=0.84086,mating_num=3,patience=9,population_size=100,k=2,tournsize=4,tournament_method=<function selTournament at 0x12c5d3dc0>,type=1",0.3562158014018222,<function cxUniform at 0x12c5b25e0>,<function mutGaussian at 0x12c5ed700>,0.4296624273652042,0.8408576361440029,3.0,9.0,100.0,<function selTournament at 0x12c5d3dc0>,1.0,0.2,0.0,1.0,2.0,4.0
