trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.enemy_number,config.type.mating_num,config.type.patience,config.type.population_size,config.type.survivor_pool,config.type.survivor_selection_method,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
48d836fa,20.05834120042963,1121.9964997768402,True,,,1,67014c90f8bb40eb98722bd282680571,2021-10-17_09-21-53,1634455313,1121.9964997768402,34218,EPNLHOOW0187,192.168.100.70,1121.9964997768402,0,1,"1_deap_crossover_kwargs=0.92499,deap_crossover_method=<function cx4ParentsCustomUniform at 0x12adac310>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.73579,doomsday_replace_with_random_prob=0.10882,enemy_number=(3, 5, 8),mating_num=2,patience=6,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x12ad39dc0>,k=2,tournsize=10,tournament_method=<function selTournament at 0x12ad39e50>,type=tournament",0.9249874034352962,<function cx4ParentsCustomUniform at 0x12adac310>,<function mutGaussian at 0x12ada3790>,0.7357913918345499,0.10881659416222167,"(3, 5, 8)",2,6,30,offspring,<function selBest at 0x12ad39dc0>,<function selTournament at 0x12ad39e50>,tournament,0.6,0,1,4,10.0
48fb37ae,1.4208447273430296,2882.041288137436,True,,,1,c09f6315936c496abd52a9a28c2a4314,2021-10-17_09-51-13,1634457073,2882.041288137436,34212,EPNLHOOW0187,192.168.100.70,2882.041288137436,0,1,"2_deap_crossover_kwargs=0.32431,deap_crossover_method=<function cx4ParentsCustomUniform at 0x12adac310>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.43239,doomsday_replace_with_random_prob=0.089399,enemy_number=(3, 5, 8),mating_num=6,patience=7,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x12ad39dc0>,k=2,tournsize=4,tournament_method=<function selTournament at 0x12ad39e50>,type=tournament",0.3243130821446256,<function cx4ParentsCustomUniform at 0x12adac310>,<function mutGaussian at 0x12ada3790>,0.43239273466611694,0.08939931237637078,"(3, 5, 8)",6,7,70,offspring,<function selBest at 0x12ad39dc0>,<function selTournament at 0x12ad39e50>,tournament,0.6,0,1,4,4.0
4910dd02,19.299549761385688,1097.9669880867004,True,,,1,881e343ec5d44baea704957da0197333,2021-10-17_09-21-29,1634455289,1097.9669880867004,34214,EPNLHOOW0187,192.168.100.70,1097.9669880867004,0,1,"3_deap_crossover_kwargs=0.33401,deap_crossover_method=<function cxUniform at 0x12ad42670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.93093,doomsday_replace_with_random_prob=0.505,enemy_number=(6, 7, 8),mating_num=3,patience=8,population_size=70,survivor_pool=all,survivor_selection_method=<function selBest at 0x12ad39dc0>,k=2,tournament_method=<function selProportional at 0x12ad39ee0>,type=proportional",0.33401205635537656,<function cxUniform at 0x12ad42670>,<function mutGaussian at 0x12ada3790>,0.9309301723876044,0.5050001404404381,"(6, 7, 8)",3,8,70,all,<function selBest at 0x12ad39dc0>,<function selProportional at 0x12ad39ee0>,proportional,0.3,0,1,2,
4925546c,14.048363826561836,1802.479192018509,True,,,1,b4ceadf580184c4da35616e6f42f1f31,2021-10-17_09-33-14,1634455994,1802.479192018509,34216,EPNLHOOW0187,192.168.100.70,1802.479192018509,0,1,"4_deap_crossover_kwargs=0.033119,deap_crossover_method=<function cx4ParentsCustomUniform at 0x12adac310>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.70739,doomsday_replace_with_random_prob=0.93293,enemy_number=(1, 2, 3),mating_num=5,patience=7,population_size=30,survivor_pool=offspring,survivor_selection_method=<function selProportional at 0x12ad39ee0>,k=2,tournament_method=<function selProportional at 0x12ad39ee0>,type=proportional",0.03311936131423021,<function cx4ParentsCustomUniform at 0x12adac310>,<function mutGaussian at 0x12ada3790>,0.7073870844524587,0.9329259361736689,"(1, 2, 3)",5,7,30,offspring,<function selProportional at 0x12ad39ee0>,<function selProportional at 0x12ad39ee0>,proportional,0.2,0,1,4,
493b66da,23.282630317251005,908.4924590587616,True,,,1,6ecfe4350b4f410bad30e33ad49733e0,2021-10-17_09-18-20,1634455100,908.4924590587616,34219,EPNLHOOW0187,192.168.100.70,908.4924590587616,0,1,"5_deap_crossover_kwargs=0.35614,deap_crossover_method=<function cxUniform at 0x12ad42670>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.24039,doomsday_replace_with_random_prob=0.4826,enemy_number=(6, 7, 8),mating_num=2,patience=1,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selBest at 0x12ad39dc0>,k=2,tournament_method=<function selProportional at 0x12ad39ee0>,type=proportional",0.3561406602974013,<function cxUniform at 0x12ad42670>,<function mutGaussian at 0x12ada3790>,0.24038902407660812,0.4825952944628392,"(6, 7, 8)",2,1,70,offspring,<function selBest at 0x12ad39dc0>,<function selProportional at 0x12ad39ee0>,proportional,0.6,0,1,2,
49532176,-0.3129052874612327,3442.205028772354,True,,,1,3980b3bd2f5f409ba29d599a5140571f,2021-10-17_10-00-34,1634457634,3442.205028772354,34213,EPNLHOOW0187,192.168.100.70,3442.205028772354,0,1,"6_deap_crossover_kwargs=0.06927,deap_crossover_method=<function cxUniform at 0x12ad42670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.19562,doomsday_replace_with_random_prob=0.79209,enemy_number=(1, 2, 3),mating_num=7,patience=8,population_size=70,survivor_pool=all,survivor_selection_method=<function selProportional at 0x12ad39ee0>,k=2,tournament_method=<function selProportional at 0x12ad39ee0>,type=proportional",0.06926970157573253,<function cxUniform at 0x12ad42670>,<function mutGaussian at 0x12ada3790>,0.1956193197077717,0.7920864224792757,"(1, 2, 3)",7,8,70,all,<function selProportional at 0x12ad39ee0>,<function selProportional at 0x12ad39ee0>,proportional,0.3,0,1,2,
496aa99a,8.171223461813721,948.745796918869,True,,,1,fc4e351409984c71a0fe7cb958171e63,2021-10-17_09-19-00,1634455140,948.745796918869,34217,EPNLHOOW0187,192.168.100.70,948.745796918869,0,1,"7_deap_crossover_kwargs=0.16377,deap_crossover_method=<function cx4ParentsCustomUniform at 0x12adac310>,indpb=0.2,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.66163,doomsday_replace_with_random_prob=0.51307,enemy_number=(1, 4, 7),mating_num=9,patience=4,population_size=30,survivor_pool=all,survivor_selection_method=<function selProportional at 0x12ad39ee0>,k=2,tournsize=4,tournament_method=<function selTournament at 0x12ad39e50>,type=tournament",0.16376992429078518,<function cx4ParentsCustomUniform at 0x12adac310>,<function mutGaussian at 0x12ada3790>,0.6616267917085058,0.5130720921915711,"(1, 4, 7)",9,4,30,all,<function selProportional at 0x12ad39ee0>,<function selTournament at 0x12ad39e50>,tournament,0.2,0,1,4,4.0
49822fde,11.169978342818343,1767.688234090805,True,,,1,527450528029467a9eab5e286eadac71,2021-10-17_09-32-39,1634455959,1767.688234090805,34215,EPNLHOOW0187,192.168.100.70,1767.688234090805,0,1,"8_deap_crossover_kwargs=0.86546,deap_crossover_method=<function cxUniform at 0x12ad42670>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.72831,doomsday_replace_with_random_prob=0.3563,enemy_number=(1, 2, 3),mating_num=5,patience=4,population_size=30,survivor_pool=all,survivor_selection_method=<function selProportional at 0x12ad39ee0>,k=2,tournament_method=<function selProportional at 0x12ad39ee0>,type=proportional",0.8654649617985052,<function cxUniform at 0x12ad42670>,<function mutGaussian at 0x12ada3790>,0.7283094531024528,0.3562975736437036,"(1, 2, 3)",5,4,30,all,<function selProportional at 0x12ad39ee0>,<function selProportional at 0x12ad39ee0>,proportional,0.6,0,1,2,
49980aa2,21.44175424564626,1082.9605729579926,True,,,1,176da029bb7e4cb594428a98a9bc1a4c,2021-10-17_09-36-26,1634456186,1082.9605729579926,34567,EPNLHOOW0187,192.168.100.70,1082.9605729579926,0,1,"9_deap_crossover_kwargs=0.62425,deap_crossover_method=<function cx4ParentsCustomUniform at 0x12adac310>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.26572,doomsday_replace_with_random_prob=0.51536,enemy_number=(1, 4, 7),mating_num=3,patience=4,population_size=70,survivor_pool=offspring,survivor_selection_method=<function selProportional at 0x12ad39ee0>,k=2,tournsize=10,tournament_method=<function selTournament at 0x12ad39e50>,type=tournament",0.6242457316733515,<function cx4ParentsCustomUniform at 0x12adac310>,<function mutGaussian at 0x12ada3790>,0.26571899320641523,0.5153569510198559,"(1, 4, 7)",3,4,70,offspring,<function selProportional at 0x12ad39ee0>,<function selTournament at 0x12ad39e50>,tournament,0.8,0,1,4,10.0
68271efc,-0.6369236770719333,1128.0924620628357,True,,,1,c15436edde704fe18b857d3924e02e40,2021-10-17_09-37-51,1634456271,1128.0924620628357,34595,EPNLHOOW0187,192.168.100.70,1128.0924620628357,0,1,"10_deap_crossover_kwargs=0.33682,deap_crossover_method=<function cxUniform at 0x12ad42670>,indpb=0.6,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x12ada3790>,doomsday_population_ratio=0.15705,doomsday_replace_with_random_prob=0.37161,enemy_number=(1, 5, 6),mating_num=6,patience=3,population_size=70,survivor_pool=all,survivor_selection_method=<function selProportional at 0x12ad39ee0>,k=2,tournsize=10,tournament_method=<function selTournament at 0x12ad39e50>,type=tournament",0.33682400964297676,<function cxUniform at 0x12ad42670>,<function mutGaussian at 0x12ada3790>,0.15704521789122516,0.3716142769881302,"(1, 5, 6)",6,3,70,all,<function selProportional at 0x12ad39ee0>,<function selTournament at 0x12ad39e50>,tournament,0.6,0,1,2,10.0
